hata,hata_tipi
Kule 1etap 10890  11320 kotları arası FS01 merdiveni kalıp beton işçilik bozuklukları ,İmalat Hatası
Kule 2450  010 kotları arası FS07 merdivenine sabit hattan beton dökülmesi ,İmalat Hatası
Kule 24 kat 10890 11320 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Kule 23 kat 1046010890 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 10 kat 16 katlar arasında tamirat silim işleri yapılmadan mekanik imalatlara başlanılması ,Yapım Yöntemine Uygunsuzluk
Kule 24 kat 1089011320 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 25 kat 1132011750 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
B8 otopark 2450 2100 kotları arası kolon perde kaba yapı kusurları ,İmalat Hatası
B92 otopark 700 kotu döşemesinde eskimiş yıpranmış plywood’lar farklı ebatlarda kırık pah çıtası kullanılması ,Malzeme Hatası
Otopark 12 13etap 700 kotu döşemesi soğuk derz birleşiminde beton perdah bozukluğu diş oluşması ,İmalat Hatası
B10 otopark 010030 kotu döşemesi kaba yapı kusurları ,İmalat Hatası
B9B6 otopark 700 kotu döşemesi soğuk derz birleşiminde beton perdah bozukluğu diş oluşması ,İmalat Hatası
B5 etap 010 680 kotları arası BP5 asansör perdesi kaba yapı kusurları ,İmalat Hatası
B7 otopark 010 kotu 1bk tavanı döşemesi kaba yapı kusurları ,İmalat Hatası
A blok kule Q100’ lük dairesel çelik kolon kalıplarında yapışan betonların kazınmaması yüzeylerin bozuk çıkması ,Malzeme Hatası
Kule 26 kat 1175012180 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzluklar ,İmalat Hatası
B91 otopark 350 kotu aşırı yıpranmış döşeme kalıbı hk ,Malzeme Hatası
Otopark 16etap 1050 kotu döşemesi 17501050 kotları arası kolonperde kaba yapı kusurları ,İmalat Hatası
Otopark B11 etap 010 kotu 1bk tavanı döşemesi kaba yapı kusurları ,İmalat Hatası
Kule 25 kat 1132011750 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
B9 otopark 010 kotu aşırı yıpranmış döşeme kalıbı hk ,Malzeme Hatası
B9 otopark 350 kotu 2bk tavanı döşemesi kaba yapı kusurları ,İmalat Hatası
B8 otopark 2100 kotu döşemesinde bozuk soğuk derz birleşimi helikopter perdahının yapılmaması ,İmalat Hatası
B5 etap VT14 asansörü 500 kotu makine dairesi döşemesinde yan perdelerin arka perdenin kotundan yüksek dökülmesi uyarılara rağmen kırılmaması izinsiz kontrolsüz epoksi yapılması ,İmalat Hatası
Kule 27 kat 1218012610 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzluklar ,İmalat Hatası
Su Deposu Buz Deposu Rezerv Soğutma Deposu Temizliği hk ,Yapım Yöntemine Uygunsuzluk
Kule 12610 kotu 2etap Döşeme Kalıpları Kule Çekirdek Perde Kalıplarında Eskimiş Yıpranmış Plywood’ların Kullanılması ,Malzeme Hatası
Podyum 600 kotu üzeri demir stoğunun uzun süre beklemesi betonlanması paslanması genel temizlik ihtiyacı ,Malzeme Hatası
Otopark 13 Etap 350 kotu döşeme altı etap geneli kaba yapı kusurları ,İmalat Hatası
Otopark 15 Etap 1050 kotu döşeme altı etap geneli kaba yapı kusurları ,İmalat Hatası
Kule 26 kat 1175012180 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 28 kat 1261013040 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Otopark B8 etap 2100 kotu döşemesi kaba yapı kusurları ,İmalat Hatası
7bk Asansör Mekanik Şaftların Temizliği ,Yapım Yöntemine Uygunsuzluk
Kule 13040 kotu 1etap döşemesi asansör şaftları cephe kenarının aksından kaçması betonun kotundan düşük dökülmesi ,İmalat Hatası
Kule 27 kat 1218012610 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 3Bodrum Kat 1050 döşeme kiriş kaba yapı uygunsuzlukları ,İmalat Hatası
Otopark B9 etap 010 kotu döşemesi kaba yapı kusurları ,İmalat Hatası
Podyum3 3 kat 17902290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Podyum FS05 merdiveni perdeleri 010  2720 kotları arası kaba yapı uygunsuzlukları ,İmalat Hatası
Kule 1etap 1347013900 kotları arası A2 perdesinde Podyum 27203150 kotları arası AS567192 nolu kolonlarda kür yapılmaması ,Yapım Yöntemine Uygunsuzluk
Kule 29 kat 1304013470 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Kule 28 kat 1261013040 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Podyum3 4 kat 22902720 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 29 kat 1etap 1304013470 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 2etap 13470  13900 kotları arası FS02 merdiven beton işçilik bozukluğu ,İmalat Hatası
Kule 2etap 13900 kotu döşemesi beton işçilik kusurları ,İmalat Hatası
Podyum 3150 kotu döşemesi beton işçilik kusurları ,İmalat Hatası
Otopark B9 Etap 24502100 kotu kaba yapı kusurları ,İmalat Hatası
Otopark B8B9 Etap 21001750 kotu kaba yapı kusurları ,İmalat Hatası
Kule 30 kat 13470 13900 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 29 kat 2etap 1304013470 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Otopark 16etap 3bk 1050700 kotları arası döşemekolonperde kaba yapı kusurları ,İmalat Hatası
Podyum 1290  3150 kotları arası FS05 merdiven basamaklarında beton birikmesi temizlik ihtiyacı ,Yapım Yöntemine Uygunsuzluk
Podyum 5kat 27203150 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Otopark 15etap 3bk1050700 kotları arası döşemekolonperde kaba yapı kusurları ,İmalat Hatası
B10  zemin kat 010  600 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Kule 31 kat 1etap 1390014330 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
B Blok bodrum katları 7654321 genel temizlik ,Yapım Yöntemine Uygunsuzluk
Otopark 13 Etap 010 kotu döşeme altı etap geneli kaba yapı kusurları ,İmalat Hatası
Otopark 12 Etap 010 kotu döşeme altı etap geneli kaba yapı kusurları ,İmalat Hatası
Kule 31 kat 2etap 1390014330 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Harç eksikliklerinden dolayı gazbeton aralarında boşlukların olduğu Kırık hasarlı parçaların kullanıldığı Beton ankraj malzeme çivi kullanımında uygunsuzlukları ,İmalat Hatası
Harç eksikliklerinden dolayı gazbeton aralarında boşlukların olduğu Düzgün olmayan topuk beton imalatı Beton kolon birleşimi eksik harç yapıştrıcı ,İmalat Hatası
Harç eksikliklerinden dolayı gazbeton aralarında boşlukların olduğu Beton kolon gazbeton birleşiminde eksik harç yapıştırıcı kullanımından dolayı boşluklar ,İmalat Hatası
Harç eksikliklerinden dolayı gazbeton aralarında boşlukların olduğu Beton kolon gazbeton birleşiminde eksik harç yapıştırıcı kullanımından dolayı boşluklar ,İmalat Hatası
Gazbeton duvar imalatı mastarında değil içe doğru diş atmış Gazbeton Hatıl imalatı şakül mastarından kaçık dışa doğru fazla diş atmış ,İmalat Hatası
Lento üzeri Devam Eden Beton Hatıl Mastarsız Dışa Doğru Eğim Yapmıştır ,İmalat Hatası
Yatay dikey hatılların birleşiminde Gazbetonda uygunsuz kesim yapılması Epoksihatıl birleşiminin düzgün olmaması Yanlış yere yapılan Epoksi imalatı ,İmalat Hatası
Yatay dikey hatılların demir etriyelerinde eksiklikler uygunsuz aralar kötü bağlantılar var ,İmalat Hatası
Dikey hatıllar Gazbeton duvarda yetersiz uygunsuz bırakılan diş boşluklar mevcut Beton kolon gazbeton birleşimlerinde yetersiz diş uygunsuz bağlantı imalatı mevcut ,İmalat Hatası
Göz izazında iskele dikmelerinde uyarıcı koruyucu tıpalar eksiklikleri mevcuttur ,İmalat Hatası
İlgili alanlardaki kapı boşluk lento alt kod ölçülerinin proje ölçüsü uyumsuzluğu mevcuttur ,İmalat Hatası
Gazbeton imalatında yapıştırıcı harç yerine köpük kullanılmış ara boşluklar köpük kapatılmış Hatıl birleşimlerinde gerekli dişlerin yapılmadan duvar örümü yapılmış ,İmalat Hatası
Gazbeton Duvar imalatında diş bırakılmadan kenetleme yapılmadan İki duvar birleştirilmeden imalat yapılmış Gazbeton Duvar imalatında Hatalı kenetleme imalatları mevcut ,İmalat Hatası
A Blok 7 Bodrum Kat Sığınak Bayan WC’leri Gazbeton Duvar İmalatı Hk ,Yapım Yöntemine Uygunsuzluk
A blok Otopark 5 Bodrum Kat AB05094O Hol Duvarlarında Taşyünü Konulmadan Köpük Sıkılması ,İmalat Hatası
A blok Otopark 5 Bodrum Kat Gazbeton Duvar İmalat Kusurları ,Yapım Yöntemine Uygunsuzluk
Otopark 13 Etap 1 2 5 Bodrum Kat Gazbeton Duvarlarında Kolon Duvar Birleşimine Ankraj L profil Atılmaması ,İmalat Hatası
6Bodrum kat beton tamirleri yapılmadan mekanik tesisat borulama başlanması ,Yapım Yöntemine Uygunsuzluk
2Bodrum kat beton tamirleri yapılmadan mekanik tesisat borulama başlanması ,Yapım Yöntemine Uygunsuzluk
7ve 6 bodrum mekanik tesisat boruları duvar geçişlerine galveniz çelik seleev konulmaması ,Yapım Yöntemine Uygunsuzluk
7bodrum kat yangın boru askı plka sabitleme nakta eksikliği ,İmalat Hatası
7ve 6 bodrum mekanik tesisat boruları duvar geçişlerine galveniz çelik seleev konulmaması ,Yapım Yöntemine Uygunsuzluk
6Bodrum kat beton tamirleri yapılmadan mekanik tesisat borulama başlanması ,Yapım Yöntemine Uygunsuzluk
Kirişe yakın geçen yangın tesisatı borularının boyanamaması ,Yapım Yöntemine Uygunsuzluk
A Blok 7 Bodrum kat drenaj çukurlarının kirli olması ,Yapım Yöntemine Uygunsuzluk
B Blok 4 Bodrum kat beton tamirleri yapılmadan mekanik tesisat yangın borularının yapılması ,Yapım Yöntemine Uygunsuzluk
B8  4bodrum 1400  1050 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Otopark 16etap 2bk 700350 kotları arası döşemekolonperde kaba yapı kusurları ,İmalat Hatası
Kule 32 kat 1etap 1433014760 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Otopark 12etap 2100  010 kotları arası FS06 merdiveni perdeleri kaba yapı uygunsuzlukları ,İmalat Hatası
Otopark 12etap 2100  010 kotları arası FS04 merdiveni perdeleri kaba yapı uygunsuzlukları ,İmalat Hatası
B blok kule 10030 13470 kotları arası 22kat 30kat arası Fs01 merdiveni kaba yapı kusurları uygunsuzlukları ,İmalat Hatası
Kule 30kat 31kat arası 1347014330 FS02 merdiven basamaklarına beton dökülmesi kırım sırasında basamaklara zarar verilmesi ,Yapım Yöntemine Uygunsuzluk
B11 zemin kat 010 600 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Otopark 4etap 350 Kotu Oditoryum Konferans Salonu Mahalli İle P4 600 Kotu Döşemesi Temizlik Tertip Düzen Hk ,Yapım Yöntemine Uygunsuzluk
Kule 32 kat 2etap 1433014760 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
B9 1kısım zemin kat 010  600 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Kule 1519015620 kotları arasında ciddi şekilde A detayı çekirdek perdesinde ATS5ATS16 nolu kolonlarda segregasyon oluşması ,İmalat Hatası
B2 2450 010 kotları arası 7bodrum kat 1bodrum kat arası Fs09 merdiveni kaba yapı kusurları uygunsuzlukları ,İmalat Hatası
Podyum FS05 merdiveni perdeleri 272031503580 kotları arası kaba yapı uygunsuzlukları ,İmalat Hatası
Podyum 6kat 31503580 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 1etap 15190  15620 kotları arası FS01 merdiven beton işçilik bozukluğu ,İmalat Hatası
Kule 33 kat 1etap 1476015190 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
B9  zemin kat 2kısım 010  600 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Podyum zemin kat 010 680 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Podyum3 1kat 6801290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Podyum3 2kat 12901790 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 15620 kotu 1etap döşemesi asansör şaftları cephe kenarının aksından kaçması betonun kotundan düşük dökülmesi ,İmalat Hatası
Otopark 15etap 2bk 700350 kotları arası döşemekolonperde kaba yapı kusurları ,İmalat Hatası
Podyum 7kat 35804010 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 33 kat 2etap 1476015190 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
B8 2bodrum kat  700 350 arası ,İmalat Hatası
FS02 merdiveni 21ve 28 katları arası9600 12610 arası ,İmalat Hatası
P9 P1 010600680 kotları arası AS144 AS219 Nolu Kolonlarda Oluşan Segregasyonun Uygunsuz Yöntemle Tamiratının Yapılması ,İmalat Hatası
B8 010 döşemesi 1415 AAAB aksları kaba yapı kusurları uygunsuzlukları ,İmalat Hatası
B5 680 1290 kotları arası kolon perde demir imalatı aşırı korozyonların tespit edilmesi ,Malzeme Hatası
Kule 34 kat 1etap 1519015620 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Uygunsuz yöntemle tamirat yapılması 310 Nolu NCR Kule 1519015620 kotları arası özellikle A detayı ,Yapım Yöntemine Uygunsuzluk
Kule 34 kat 2etap 1519015620 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Otopark 16etap 1bk350010 kotları arası döşemekolonperde kaba yapı kusurları ,İmalat Hatası
B Blok Yalıtım Koruma kusurları ,Malzeme Hatası
A Blok Yalıtım Koruma kusurları ,Malzeme Hatası
Demirlerin aşırı korozyona uğraması betonlanması yağlanması çalışma alanı temizliği ,Malzeme Hatası
Beton tamiratı yapılmayan yerlerde mekanik tesisatlarının yapılması ,Yapım Yöntemine Uygunsuzluk
Siyah çelik boruların boyasız getirilip şantiyede antipaslarının yapılması ,Yapım Yöntemine Uygunsuzluk
Yangın tesisat boruları temiz su borularının ağzının açık kalması ,İmalat Hatası
Temiz Su Tesisatı konsol rotlarının çapaklarının temizlenmemesi paslanması ,Yapım Yöntemine Uygunsuzluk
Pis Su tesisatı kelepçelerinin oksitlenmesi paslanması ,Yapım Yöntemine Uygunsuzluk
Siyah çelik boruların korunmaması ,Yapım Yöntemine Uygunsuzluk
Havalandırma Tesisatı konsol imalatının temizliği paslanması ,Yapım Yöntemine Uygunsuzluk
Yangın Tesisatında uygun olmayan boru kelepçe montajı ,Yapım Yöntemine Uygunsuzluk
Yangın Tesisatında uygun olmayan imalat yöntemi ,Yapım Yöntemine Uygunsuzluk
Ağzı açık Havalandırma Tesisatı kanalı ,Yapım Yöntemine Uygunsuzluk
Uygun olmayan Havalandırma Tesisatı Askı Sistemi ,Yapım Yöntemine Uygunsuzluk
Yangın Tesisatında uygun olmayan imalat yöntemi ,Yapım Yöntemine Uygunsuzluk
Paslanan Yangın Tesisatı borusu askı rotu ,İmalat Hatası
Çelik boruların ağızlarının açık bırakılması ,İmalat Hatası
Askı rotlarının duvara denk gelmesi ,İmalat Hatası
Beton tamiratı yapılmayan yerlerde mekanik tesisatlarının yapılması ,Yapım Yöntemine Uygunsuzluk
Yangın Tesisatı borularının gaz beton duvarın içinde kalması ,Yapım Yöntemine Uygunsuzluk
Malzeme onayı olmayan malzeme kullanımı ,Malzeme Hatası
Red edilen malzeme kullanımı ,Malzeme Hatası
Yangın Tesisatı borularının kirişlere yakın olması ,Yapım Yöntemine Uygunsuzluk
Yangın Tesisatı askı rotlarının boyanmaması ,İmalat Hatası
Yangın Tesisatı borularının yardımcı malzemelerinin paslanması ,İmalat Hatası
Pis Su Tesisatı Borularının Ağızlarının Açık Bırakılması İçlerine Pislik Dolması ,İmalat Hatası
Süzgeç Ağızlarının Açık Bırakılması ,İmalat Hatası
Kule 1605016480 kotları arası 2etap B detayı çekirdek perdesinde segregasyon oluşması ,İmalat Hatası
B Blok FS06 merdiveni 7bodrum kat Zemin kat  2450 680 kotları arası  kaba yapı kusurları uygunsuzlukları ,İmalat Hatası
B Blok FS07 merdiveni 7bodrum kat Zemin kat  2450 680 kotları arası  kaba yapı kusurları uygunsuzlukları ,İmalat Hatası
Podyum 1213 zemin kat 010600 kotları arası döşemekolonperde kaba yapı kusurları ,İmalat Hatası
Kule 35 kat 1etap 1562016050 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 16050  16480 kotları arası FS01 merdiven betonu perdah işçilik bozukluğu segregasyon oluşması ,İmalat Hatası
A Blok Taşeron konteyner bölgesi geçiş güzergahı uygunsuzluğu Genel Temizlik ,İmalat Hatası
1bodrum kat gazbeton imalatında kırık gazbetonlarıışık geçiren duvarharç sürülmemiş imalatlar hakkında ,Yapım Yöntemine Uygunsuzluk
2bodrum kat gazbeton imalatında gazbetonun kolon birleşim yerlerine harç sürülmemesi hak ,Yapım Yöntemine Uygunsuzluk
1bodrum kat FS07 merdiven yanı  K2A4 AZ aksındaki duvar teslim edilmeden örülmesi ilk sıra kırık gazbetonları bulunması hak ,Yapım Yöntemine Uygunsuzluk
1bodrum kat harç sürülmeden imalat yapılması ,Yapım Yöntemine Uygunsuzluk
2bodrum kat harç sürülmeden imalat yapılması ,Yapım Yöntemine Uygunsuzluk
2bodrum uygunsuz  kırık gazbetonu imalatı ,Malzeme Hatası
Kule zemin kat AG00111H Ticari Hizmet IT odası duvarının ilk sıra aplikasyonu teslim edilmeden üzerine devam edilmesi ,Yapım Yöntemine Uygunsuzluk
Kule zemin kat Gazbeton Duvar İmalat Kusurları ,İmalat Hatası
3bodrum kat AD aksından geçen güvenlik wc duvar imalatı hakkında ,İmalat Hatası
Bodrum Kat İmalatı Tamamlanmış Gazbeton duvarların korunması Hk ,Yapım Yöntemine Uygunsuzluk
Kule 15190 kotu döşemesinde elektrik borusunun perde dışında kalması Podyum 4010 kotu döşemesinde topraklama şeridinin döşeme dışında açıkta kalması ,Yapım Yöntemine Uygunsuzluk
Sahada marka onayı olmayan malzeme bulunması ,Malzeme Hatası
Marka onayı olmayan malzeme kullanılması ,Malzeme Hatası
Onaylı shop drawing projesi olmadan imalat yapılması ,Yapım Yöntemine Uygunsuzluk
Borulama imalatının şartnameye uygun yapılmaması ,Yapım Yöntemine Uygunsuzluk
İş sırasına uyulmaması ,Yapım Yöntemine Uygunsuzluk
Kablo tavası yapım yöntemine uygun imalat yapılmaması ,Yapım Yöntemine Uygunsuzluk
Onaylı projeye uygun imalat yapılmaması ,Yapım Yöntemine Uygunsuzluk
Marka onayı olmayan malzeme kullanılması ,Malzeme Hatası
Kablo tavası yapım yöntemine uygun imalat yapılmaması ,Yapım Yöntemine Uygunsuzluk
Kablo tavası yapım yöntemine uygun imalat yapılmaması ,Yapım Yöntemine Uygunsuzluk
2bodrum kat su içindeki bölgelere epoksi yapılması ,Yapım Yöntemine Uygunsuzluk
2bodrum kat gaz betonları yataklarına koyulan harcın gazbetonlarının dışına taşması ,İmalat Hatası
3bodrum kat duvar bitiş yerine cm’lik gazbetonu parçası konulması ,Yapım Yöntemine Uygunsuzluk
2bodrum kat FS06 merdiven kapısı hatıl imalatındaki epoksi hakkında ,İmalat Hatası
2bodrum kat FS05 merdiven yanı aksından geçen kapıların hatılları hakkında ,İmalat Hatası
4bodrum kat duvar bitiş yerine cm’lik gazbetonu parçası konulması ,Yapım Yöntemine Uygunsuzluk
4bodrum kat duvar bitiş yerine cm’lik gazbetonu parçası konulması ,Yapım Yöntemine Uygunsuzluk
4bodrum kat şaşırtmalı gazbetonu imalatı hakkında ,Yapım Yöntemine Uygunsuzluk
Podyum3 2290 4 kat FS14 merdiven çevresi duvar imalat kusurları ,İmalat Hatası
Podyum3 2290 5 kat FS14 merdiven çevresi duvar imalat kusurları ,İmalat Hatası
Podyum3 2290 6 kat FS14 merdiven çevresi duvar imalat kusurları ,İmalat Hatası
7 Bodrum kat rampa altı duvar imalatı hk ,Yapım Yöntemine Uygunsuzluk
1bodrum kat AB01044D Rezerv Tesisat Galerisi AB01111O Depo Duvar İmalatı ,İmalat Hatası
2bodrum kat duvar bitiş yerinde cm’lik gazbetonu parçası konulması ,Yapım Yöntemine Uygunsuzluk
Bitişik podyum 2kat 1290 kotu AP02040B DEPO mahalinin kapı kenarı kapı üstü hatıllarının çap olması doğrultusundan kaçması kalıbının erken alınması ,İmalat Hatası
Podyum3 680 1kat FS13 merdiven çevresi duvar imalat kusurları ,İmalat Hatası
Kule 11 normal kat 53005730 kotları arası duvarlarının ilk sıra aplikasyonu teslim edilmeden üzerine devam edilmesi ,Yapım Yöntemine Uygunsuzluk
Otopark 6 bodrum kat AB06014O HOL Duvar İmalatı Kusurları ,İmalat Hatası
Otopark 6 bodrum kat AB06019O DEPO duvarlarında kiriş altında cm köpük payı bırakılması düşey hatıl genişliğinin daralması ,İmalat Hatası
Otopark 6 bodrum kat Rezerv Soğutma Deposu duvarında yağmurlarda aşırı ıslanmış yaş gazbeton kullanılması ,Malzeme Hatası
Kule 2kat FS02 merdiveni iç bölgesi duvar imalatı hakkında ,Malzeme Hatası
Kule 11normal kat çekirdek perdesi duvarlarında dikey yatay derzlerde harç kullanılması ışık geçmesi ,İmalat Hatası
Kule 4normal kat 2290 2720 kotları arası  duvarhatıl imalat kusurları ,İmalat Hatası
Bodrum katlar çimento esaslı sıva imalatında ano kalınlığının 15 cm yapılması ,Yapım Yöntemine Uygunsuzluk
1bodrum kat sıva imalatı hata tespiti hakkında ,İmalat Hatası
6bodrum kat duvar imalatı hakkında ,İmalat Hatası
6bodrum kat duvar imalatı hakkında ,İmalat Hatası
1bodrum kat sıva imalatı geçiş yerlerine file aderans arttırıcı sürülmemesi hakkında ,İmalat Hatası
1bodrum kat sıva imalatı hakkında ,İmalat Hatası
Zemin kat duvar imalatı hatalı lentolar hakkında ,İmalat Hatası
1 kat duvar imalatı hatalı lentolar hakkında ,İmalat Hatası
5bodrum uygunsuz  kenarı köşesi kırık gazbeton imalatı ,İmalat Hatası
KuleBitişik podyum 7kat AP07045B Depo duvarının hatıl yapımı sırasında kolonla bağlantısının koparılması duvarın kolondan ayrılması ,İmalat Hatası
Zemin kat şaşırtma hatalı gazbeton duvar imalatı hakkında ,İmalat Hatası
Zemin hatıl demiri imalatı hakkında ,İmalat Hatası
1bodrum kat çimento esaslı sıva imalatı hakkında ,İmalat Hatası
Zemin kat ıslak hacimleri duvar imalatı hakkında ,İmalat Hatası
Zemin kat artık gazbetonları saha tertip düzeni hakkında ,Yapım Yöntemine Uygunsuzluk
4kat mockup yükseltilmiş döşeme imalatı hakkında ,Yapım Yöntemine Uygunsuzluk
5bodrum kat ıslak hacim sabit tutunma barı lentosu hakkında ,Yapım Yöntemine Uygunsuzluk
Kule 2 kat ıslak hacim sabit tutunma barı lavabo lentosu hakkında ,Yapım Yöntemine Uygunsuzluk
1bodrum kat çimento esaslı sıva hakkında ,İmalat Hatası
1bodrum kat alçı sıva imalatı hakkında ,İmalat Hatası
Kule 5normal kat 2720 3150 kotları arası  duvarhatıl imalat kusurları ,İmalat Hatası
Gazbeton duvar kirişdöşeme birleşiminde onaysız marka malzeme taşyünü yerine camyünü kullanılması ,Yapım Yöntemine Uygunsuzluk
Gazbeton duvar üzerinde serpme sıva kurumadan şartnameye göre beklenilmeden çes imalatının yapılması ,Yapım Yöntemine Uygunsuzluk
2bodrum kat çimento esaslı sıva imalatı hakkında ,İmalat Hatası
Otopark 5bodrum kat SM26 Jetfan Şaftı Duvarında Su İçinde Kalmış Yaş Blokların Kullanılması ,Malzeme Hatası
5 Bodrum Kat ÇES Duvar Kolon Birleşiminde Fuga İşçilik Bozukluğu IT Odası Sıvasının Diş Yapması ,İmalat Hatası
VT09 asansör şaftının tamiratları tamamlanmadan teslim edilmeden boyasının yapılması 3bk 13kat arası ,Yapım Yöntemine Uygunsuzluk
VT09 asansör şaftının 13kat 27katlar arası tamiratları tamamlanmadan teslim edilmeden boyasının yapılması ,Yapım Yöntemine Uygunsuzluk
Kule podyum 5kat gazbeton duvar kirişdöşeme birleşiminde onaysız marka malzeme taşyünü yerine camyünü kullanılması ,Malzeme Hatası
3 bodrum kat duvar kirişdöşeme birleşiminde onaysız marka malzeme taşyünü yerine camyünü konulması ,İmalat Hatası
5 Bodrum Kat AB05051O OTOPARK ASANSÖR HOLÜ ÇES İmalat Kusurları ,İmalat Hatası
6 Bodrum Kat AB06005O HOL ÇES İmalat Kusurları ,İmalat Hatası
Otopark 3bodrum kat SM26 JETFAN ŞAFTI duvarının gönyesinden doğrultusundan kaçması ,İmalat Hatası
5bodrum kat taş yünü poliüretan köpük hakkında ,İmalat Hatası
5bodrum kat çimento esaslı sıva çatlaması hakkında ,İmalat Hatası
1bodrum kat çimento esaslı sıva çatlaması hakkında ,İmalat Hatası
5 Bodrum Kat AB05046O MUTFAK PİŞİRME ALANI ÇES İmalatı Fuga Bozuklukları ,İmalat Hatası
Kule 13 14 Normal Kat Hatıllarının Şişmesi Duvarda Diş Yapması ,İmalat Hatası
VT05 asansörü 5kat 3kat SM05 basınçlandırma şaft içi sıvası hakkında ,Yapım Yöntemine Uygunsuzluk
Mockup 4kat lamel tavan imalatı hakkında ,Yapım Yöntemine Uygunsuzluk
5Bodrum Kat AB05036O SERVİS AVLUSU AB0525O YKK ÇES İmalatı Fuga Bozuklukları ,İmalat Hatası
4Bodrum kat rampa başı kolon köşesi pahlarındaki bozukluklar ,İmalat Hatası
VT10 asansör şaftı tamiratlarındaki bozukluklar hk ,İmalat Hatası
Kule 17kat A10001 Temizlik odası SM08 şaft içi sıvası ön yüz duvarının örülmesi ,Yapım Yöntemine Uygunsuzluk
Giriş kat 010 kotu AG00110O KORİDOR duvarının döşemeden ayrılması duvar yüzeyinde çatlak oluşması ,Yapım Yöntemine Uygunsuzluk
5Bodrum Kat AB05036O Servis Avlusu duvar çes yüzey bozukluğu AB05094O Hol alçı sıva kolon duvar birleşimi fuga bozukluğu ,Yapım Yöntemine Uygunsuzluk
Otopark 3bk AB03290O YGH AB03006O IT ODASI  AB03011O IT ODASI duvar imalatı hk ,İmalat Hatası
Kule 5kat ıslak hacim ortak duvarı ışık geçirmesi hakkında ,İmalat Hatası
3bodrum kat ÇES imalatı genel kusurları ,İmalat Hatası
1bodrum sıva içinde kalan elektrik tesisatı hakkında ,Yapım Yöntemine Uygunsuzluk
